City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
hithadhoo,-0.6,73.0833,29.09,62,14,3.81,MV,1614909527
mataura,-46.1927,168.8643,14.73,65,100,2.17,NZ,1614909529
tabou,4.423,-7.3528,25.87,88,99,3.72,CI,1614909529
chokurdakh,70.6333,147.9167,-22.72,90,100,9.97,RU,1614909464
sao felix do xingu,-6.6447,-51.995,22.19,95,96,1.32,BR,1614909530
cidreira,-30.1811,-50.2056,22.21,92,100,3.3,BR,1614909532
yaring,6.8662,101.3689,27.0,83,40,2.06,TH,1614909533
port elizabeth,-33.918,25.5701,19.0,94,40,5.66,ZA,1614909385
vestmannaeyjar,63.4427,-20.2734,4.96,77,100,4.57,IS,1614909362
kaeo,-35.1,173.7833,22.6,54,1,4.01,NZ,1614909535
fethiye,36.6217,29.1164,6.0,87,0,1.54,TR,1614909536
burnie,-41.0667,145.9167,20.0,50,0,9.39,AU,1614909506
avarua,-21.2078,-159.775,29.0,79,100,2.57,CK,1614909538
new norfolk,-42.7826,147.0587,15.0,52,43,1.34,AU,1614909540
zhigansk,66.7697,123.3711,-34.54,82,11,0.39,RU,1614909541
taywarah,33.35,64.4167,-0.74,77,23,0.72,AF,1614909542
atuona,-9.8,-139.0333,26.63,75,12,5.62,PF,1614909452
inhambane,-23.865,35.3833,23.46,91,7,2.52,MZ,1614909544
kaduqli,11.0167,29.7167,22.21,19,0,7.24,SD,1614909545
talnakh,69.4865,88.3972,-20.09,89,100,4.05,RU,1614909546
lere,10.387,8.5726,19.84,23,0,2.83,NG,1614909548
port hardy,50.6996,-127.4199,7.0,81,75,2.57,CA,1614909549
vereshchagino,58.0789,54.6557,-7.05,97,98,5.32,RU,1614909551
ushuaia,-54.8,-68.3,13.0,44,40,2.06,AR,1614909551
petropavlovsk-kamchatskiy,53.0452,158.6483,-1.0,64,75,1.0,RU,1614909551
bluff,-46.6,168.3333,15.39,68,100,3.87,NZ,1614909553
rikitea,-23.1203,-134.9692,27.75,73,100,2.59,PF,1614909554
kirkwood,38.5834,-90.4068,11.11,54,1,4.63,US,1614909554
panzhihua,26.5851,101.7128,17.42,42,0,0.58,CN,1614909555
jamestown,42.097,-79.2353,-6.67,91,1,6.11,US,1614909556
kapaa,22.0752,-159.319,23.0,73,75,11.32,US,1614909557
yellowknife,62.456,-114.3525,-19.0,71,90,9.26,CA,1614909558
maniitsoq,65.4167,-52.9,0.05,89,0,3.59,GL,1614909344
makakilo city,21.3469,-158.0858,27.0,47,40,5.14,US,1614909558
mayo,38.8876,-76.5119,6.0,42,90,6.17,US,1614909507
atasu,48.6814,71.6433,-12.35,96,86,6.04,KZ,1614909558
caranavi,-15.8167,-67.55,17.95,95,100,1.09,BO,1614909560
dikson,73.5069,80.5464,-33.82,82,10,5.47,RU,1614909546
mount isa,-20.7333,139.5,33.0,9,0,4.12,AU,1614909287
cape town,-33.9258,18.4232,20.56,68,0,7.2,ZA,1614909541
hilo,19.7297,-155.09,26.0,53,20,5.14,US,1614909377
alofi,-19.0595,-169.9187,28.0,83,75,3.6,NU,1614909561
puerto ayora,-0.7393,-90.3518,24.44,98,84,1.95,EC,1614909562
pevek,69.7008,170.3133,-16.61,91,100,3.17,RU,1614909562
portland,45.5234,-122.6762,9.44,90,100,1.87,US,1614909500
saint anthony,45.0205,-93.218,6.0,42,90,1.54,US,1614909564
fortuna,40.5982,-124.1573,12.0,62,1,5.66,US,1614909422
albany,42.6001,-73.9662,-4.0,42,75,8.75,US,1614909565
chuy,-33.6971,-53.4616,21.17,92,55,3.32,UY,1614909566
kailua,21.4022,-157.7394,26.0,61,20,6.69,US,1614909567
sitka,57.0531,-135.33,6.0,52,90,3.6,US,1614909568
beloha,-25.1667,45.05,21.92,96,3,1.08,MG,1614909403
bogorodskoye,56.55,37.8833,-9.17,98,74,2.07,RU,1614909570
mahebourg,-20.4081,57.7,24.0,83,40,3.09,MU,1614909570
bay roberts,47.5999,-53.2648,0.0,81,99,0.89,CA,1614909570
tasiilaq,65.6145,-37.6368,1.0,93,90,1.31,GL,1614909571
ugoofaaru,5.6667,73.0,27.77,77,7,7.09,MV,1614909572
mustafakemalpasa,40.0353,28.4117,1.0,86,0,0.51,TR,1614909573
necochea,-38.5473,-58.7368,17.78,89,100,2.68,AR,1614909575
tuktoyaktuk,69.4541,-133.0374,-25.0,77,1,6.17,CA,1614909575
esperance,-33.8667,121.9,24.0,69,0,5.66,AU,1614909527
hami,42.8,93.45,3.28,61,0,3.18,CN,1614909384
abrau-dyurso,44.69,37.59,6.0,65,0,9.0,RU,1614909576
auki,-8.7676,160.7034,29.32,66,91,2.15,SB,1614909578
victoria,22.2855,114.1577,21.11,88,99,6.02,HK,1614909399
kaitangata,-46.2817,169.8464,15.25,71,100,0.67,NZ,1614909579
paamiut,61.994,-49.6678,0.61,95,100,3.22,GL,1614909581
bredasdorp,-34.5322,20.0403,14.0,94,2,0.51,ZA,1614909582
prince rupert,54.3161,-130.3201,8.0,71,75,6.69,CA,1614909534
punta arenas,-53.15,-70.9167,12.0,58,90,2.06,CL,1614909583
pisco,-13.7,-76.2167,24.0,78,0,6.17,PE,1614909481
camana,-16.6228,-72.7111,22.83,76,100,1.83,PE,1614909584
hermanus,-34.4187,19.2345,17.37,74,22,4.2,ZA,1614909586
porto belo,-27.1578,-48.5531,26.11,94,40,1.54,BR,1614909586
longyearbyen,78.2186,15.6401,-14.0,66,75,4.63,SJ,1614909549
bethel,41.3712,-73.414,-1.0,29,1,3.09,US,1614909588
kroya,-7.6331,109.2461,28.48,73,96,0.56,ID,1614909589
severo-kurilsk,50.6789,156.125,0.33,95,100,7.62,RU,1614909590
busselton,-33.65,115.3333,22.22,89,68,0.45,AU,1614909592
mar del plata,-38.0023,-57.5575,21.0,83,90,5.14,AR,1614909362
tiarei,-17.5333,-149.3333,31.0,62,40,1.54,PF,1614909592
samarai,-10.6167,150.6667,30.38,66,95,7.24,PG,1614909572
bijapur,16.8333,75.7,21.35,33,10,4.0,IN,1614909593
castro,-24.7911,-50.0119,18.07,95,100,3.03,BR,1614909594
nome,64.5011,-165.4064,-13.0,78,90,14.4,US,1614909428
aykhal,66.0,111.5,-30.84,79,2,3.57,RU,1614909595
provideniya,64.3833,-173.3,-14.0,78,75,4.0,RU,1614909498
montes claros,-16.735,-43.8617,19.81,76,83,0.52,BR,1614909597
nisporeni,47.0814,28.1783,6.11,65,0,1.54,MD,1614909598
arraial do cabo,-22.9661,-42.0278,25.03,86,100,9.32,BR,1614909599
ixtapa,20.7,-105.2,23.0,83,1,3.09,MX,1614909600
terrace bay,48.7834,-87.1,-9.0,86,49,2.06,CA,1614909601
peterhead,57.5058,-1.7981,2.78,69,90,3.09,GB,1614909603
ancud,-41.8697,-73.8203,13.0,76,0,1.54,CL,1614909605
cabo san lucas,22.8909,-109.9124,24.0,41,75,3.78,MX,1614909318
mayor pablo lagerenza,-19.9309,-60.7718,22.72,95,100,2.1,PY,1614909605
lebu,-37.6167,-73.65,15.11,82,0,7.49,CL,1614909606
coihaique,-45.5752,-72.0662,16.0,67,0,1.4,CL,1614909576
bonavista,48.6499,-53.1147,0.0,93,99,2.57,CA,1614909608
clyde river,70.4692,-68.5914,-31.0,76,1,5.66,CA,1614909550
qaanaaq,77.484,-69.3632,-30.51,63,0,2.66,GL,1614909609
dingle,10.9995,122.6711,28.42,74,40,6.84,PH,1614909611
san rafael,-34.6177,-68.3301,26.56,36,0,2.13,AR,1614909337
aguazul,5.1728,-72.5471,28.96,39,96,0.79,CO,1614909612
ulladulla,-35.35,150.4667,21.0,49,40,8.75,AU,1614909613
tiksi,71.6872,128.8694,-29.3,87,95,2.52,RU,1614909615
port alfred,-33.5906,26.891,19.44,91,4,1.34,ZA,1614909616
butaritari,3.0707,172.7902,27.63,77,100,8.93,KI,1614909617
sur,22.5667,59.5289,24.78,42,0,1.41,OM,1614909620
pedasi,7.5333,-80.0333,26.18,70,0,8.73,PA,1614909621
trofors,65.5333,13.4063,-2.0,93,75,2.57,NO,1614909622
kisangani,0.5167,25.2,26.2,55,97,1.71,CD,1614909623
pestyaki,56.7103,42.6717,-13.37,95,0,1.93,RU,1614909624
caravelas,-17.7125,-39.2481,23.54,82,81,2.29,BR,1614909625
saldanha,-33.0117,17.9442,15.0,77,0,3.09,ZA,1614909625
vostok,46.4856,135.8833,-0.4,99,100,6.49,RU,1614909399
camacha,33.0833,-16.3333,17.0,82,40,8.23,PT,1614909626
khatanga,71.9667,102.5,-32.5,77,0,4.99,RU,1614909627
miandrivazo,-19.5167,45.4667,24.27,85,100,1.24,MG,1614909629
cockburn town,21.4612,-71.1419,25.62,76,0,3.57,TC,1614909630
rundu,-17.9333,19.7667,19.08,65,69,1.16,NA,1614909631
meghri,38.9029,46.2446,2.39,80,100,2.13,AM,1614909633
freeport,40.6576,-73.5832,0.0,41,0,6.71,US,1614909382
arkadelphia,34.1209,-93.0538,16.0,62,1,1.88,US,1614909634
maarianhamina,60.0973,19.9348,-4.0,93,75,1.03,AX,1614909485
leningradskiy,69.3833,178.4167,-18.07,91,100,11.66,RU,1614909636
myitkyina,25.3833,97.4,22.66,46,0,0.44,MM,1614909636
wanning,18.8003,110.3967,25.4,77,5,2.35,CN,1614909636
villazon,-22.0866,-65.5942,9.89,75,94,4.79,BO,1614909638
mopipi,-21.1833,24.8833,22.24,48,12,1.21,BW,1614909638
hofn,64.2539,-15.2082,4.5,67,0,1.54,IS,1614909639
naze,28.3667,129.4833,21.0,56,40,7.2,JP,1614909539
kodiak,57.79,-152.4072,3.0,48,1,2.57,US,1614909537
camopi,3.1655,-52.3158,22.3,98,100,1.06,GF,1614909641
faanui,-16.4833,-151.75,28.41,74,100,3.33,PF,1614909518
cabinda,-5.55,12.2,26.63,88,99,2.57,AO,1614909641
benjamin constant,-4.3831,-70.0311,25.0,100,40,1.03,BR,1614909643
viedma,-40.8135,-62.9967,16.71,72,100,5.47,AR,1614909609
buala,-8.145,159.5921,29.54,66,32,3.48,SB,1614909644
minsk,53.9,27.5667,-4.0,74,0,3.0,BY,1614909386
zhezkazgan,47.8043,67.7144,-11.48,96,9,4.91,KZ,1614909645
verkhoyansk,67.5447,133.385,-25.43,84,100,1.52,RU,1614909647
apaseo el alto,20.45,-100.6167,26.0,22,40,2.06,MX,1614909425
nemuro,43.3236,145.575,3.0,87,0,4.12,JP,1614909573
kendari,-3.945,122.4989,30.68,65,0,0.71,ID,1614909648
ayagoz,47.9714,80.4392,-3.24,98,100,9.62,KZ,1614909650
georgetown,5.4112,100.3354,29.44,78,20,2.06,MY,1614909359
vaini,-21.2,-175.2,29.0,74,75,3.6,TO,1614909604
nikolskoye,59.7035,30.7861,-6.0,79,0,6.0,RU,1614909508
meulaboh,4.1363,96.1285,27.25,81,2,1.72,ID,1614909650
barrow,71.2906,-156.7887,-30.0,57,1,9.77,US,1614909433
saint-philippe,-21.3585,55.7679,25.0,78,0,2.06,RE,1614909651
shimoda,34.6667,138.95,13.0,88,75,4.12,JP,1614909652
aklavik,68.2191,-135.0107,-22.0,64,77,3.09,CA,1614909653
daliang,22.8504,113.247,25.0,37,100,2.13,CN,1614909388
biggar,55.6167,-3.5167,3.0,65,90,2.57,GB,1614909591
gasa,31.5,34.4667,10.0,93,20,1.54,PS,1614909598
canutama,-6.5339,-64.3831,22.67,96,99,0.68,BR,1614909653
isangel,-19.55,169.2667,31.0,74,75,6.17,VU,1614909654
gandhinagar,23.2167,72.6833,19.0,63,0,1.63,IN,1614909654
nanortalik,60.1432,-45.2371,-0.13,98,100,2.34,GL,1614909655
ostrovnoy,68.0531,39.5131,-10.92,93,100,3.87,RU,1614909656
codrington,-38.2667,141.9667,15.43,61,98,5.51,AU,1614909534
hobart,-42.8794,147.3294,15.0,51,75,8.75,AU,1614909642
yerbogachen,61.2767,108.0108,-25.53,87,91,4.29,RU,1614909657
axim,4.8699,-2.2405,26.49,88,27,4.57,GH,1614909574
obala,4.1667,11.5333,24.0,94,75,1.54,CM,1614909659
east london,-33.0153,27.9116,21.43,77,26,6.9,ZA,1614909431
abu zabad,12.35,29.25,17.95,25,0,7.06,SD,1614909660
itarema,-2.9248,-39.9167,26.71,79,100,4.92,BR,1614909661
tazovskiy,67.4667,78.7,-13.75,95,99,6.37,RU,1614909663
raudeberg,61.9875,5.1352,0.56,83,98,4.79,NO,1614909663
lagoa,39.05,-27.9833,14.04,66,84,2.63,PT,1614909663
tamale,9.4008,-0.8393,27.95,22,40,2.07,GH,1614909663
cururupu,-1.8283,-44.8683,23.5,95,100,1.38,BR,1614909664
chicama,-7.8447,-79.1469,24.31,70,99,1.98,PE,1614909666
carnarvon,-24.8667,113.6333,25.0,88,40,5.14,AU,1614909602
launceston,-41.45,147.1667,18.33,41,40,5.14,AU,1614909496
ulaangom,49.9811,92.0667,-16.17,91,92,0.64,MN,1614909667
boa vista,2.8197,-60.6733,29.0,58,40,4.12,BR,1614909670
pinhao,-25.6956,-51.6597,17.63,99,100,1.87,BR,1614909424
zharkent,44.1628,80.0,5.07,65,100,6.04,KZ,1614909671
dicabisagan,17.0818,122.4157,27.61,64,0,1.4,PH,1614909671
weinan,34.5036,109.5089,9.0,87,100,1.0,CN,1614909672
menongue,-14.6585,17.691,15.69,92,29,1.71,AO,1614909673
le havre,49.4938,0.1077,4.0,93,75,4.63,FR,1614909675
utmanzai,34.188,71.7629,14.0,62,0,2.06,PK,1614909676
ostersund,63.1792,14.6357,-5.0,86,40,4.12,SE,1614909677
broome,42.2506,-75.833,-8.0,67,75,6.17,US,1614909678
lavrentiya,65.5833,-171.0,-10.57,94,100,7.3,RU,1614909680
ribeira grande,38.5167,-28.7,14.48,63,92,2.16,PT,1614909680
medeiros neto,-17.3739,-40.2206,21.38,81,39,3.03,BR,1614909517
husavik,66.0449,-17.3389,4.0,75,40,7.2,IS,1614909682
tinaquillo,9.9186,-68.3047,22.15,78,39,2.69,VE,1614909682
laguna,38.421,-121.4238,18.0,36,1,3.09,US,1614909492
vao,-22.6667,167.4833,25.34,73,80,3.14,NC,1614909684
podor,16.6527,-14.9587,24.12,18,9,4.87,MR,1614909685
ponta do sol,32.6667,-17.1,15.56,72,54,2.24,PT,1614909687
medea,36.2642,2.7539,11.0,100,75,1.54,DZ,1614909688
vanavara,60.34,102.2797,-17.91,92,100,3.63,RU,1614909688
iki-burul,45.8208,44.6472,1.0,80,0,8.0,RU,1614909690
vila velha,-20.3297,-40.2925,25.56,78,0,2.06,BR,1614909643
thompson,55.7435,-97.8558,-3.0,68,75,3.09,CA,1614909691
praia da vitoria,38.7333,-27.0667,13.0,94,40,3.24,PT,1614909692
srednekolymsk,67.45,153.6833,-22.1,88,100,9.27,RU,1614909549
parrita,9.5201,-84.3225,20.0,64,20,6.69,CR,1614909693
rudsar,37.1376,50.288,9.0,87,90,1.03,IR,1614909694
hambantota,6.1241,81.1185,23.0,100,75,1.54,LK,1614909439
mattru,7.6244,-11.8332,24.33,95,95,1.12,SL,1614909694
moron,-34.6534,-58.6198,25.0,84,7,0.45,AR,1614909691
erenhot,43.6475,111.9767,-11.0,84,3,5.58,CN,1614909696
moose factory,51.2585,-80.6094,-18.0,60,1,4.12,CA,1614909697
avon,41.4517,-82.0354,-2.78,68,40,5.14,US,1614909698
eregli,37.5133,34.0467,0.67,81,0,0.06,TR,1614909698
umm kaddadah,13.6017,26.6876,16.78,28,0,7.94,SD,1614909698
kavieng,-2.5744,150.7967,29.26,72,86,4.13,PG,1614909700
tuatapere,-46.1333,167.6833,12.9,82,100,0.92,NZ,1614909701
ahipara,-35.1667,173.1667,21.56,58,0,3.49,NZ,1614909702
ngama,11.7833,17.1667,23.17,19,0,5.23,TD,1614909702
tocopilla,-22.092,-70.1979,20.65,74,17,0.7,CL,1614909615
chapais,49.7834,-74.8492,-18.0,71,90,6.17,CA,1614909703
severnoye,56.3491,78.3619,-3.98,98,100,7.32,RU,1614909704
hazorasp,41.3194,61.0742,-1.0,93,0,2.06,UZ,1614909704
nyurba,63.2842,118.3319,-30.1,85,0,3.57,RU,1614909705
kirakira,-10.4544,161.9205,28.1,73,99,5.32,SB,1614909705
samfya,-11.3649,29.5565,18.09,91,100,2.57,ZM,1614909706
acapulco,16.8634,-99.8901,27.0,74,20,2.57,MX,1614909209
kodinsk,58.6881,99.1844,-14.19,93,99,3.48,RU,1614909707
sorong,-0.8833,131.25,28.36,73,100,1.89,ID,1614909707
goderich,43.7501,-81.7165,-5.0,68,13,6.69,CA,1614909607
hasaki,35.7333,140.8333,15.0,63,75,3.09,JP,1614909483
saint george,37.1041,-113.5841,15.0,33,1,1.54,US,1614909663
belaya kholunitsa,58.84,50.8528,-15.35,93,93,3.6,RU,1614909709
lompoc,34.6391,-120.4579,13.0,76,20,3.6,US,1614909701
college,64.8569,-147.8028,-13.0,66,1,0.96,US,1614909557
pervomaysk,48.0443,30.8507,4.22,82,100,2.71,UA,1614909709
mount gambier,-37.8333,140.7667,19.0,52,75,5.66,AU,1614909581
kyren,51.6828,102.1408,-11.06,81,0,0.72,RU,1614909710
tereze,43.9361,42.4434,-6.0,86,0,2.0,RU,1614909711
aloleng,16.1307,119.7824,28.98,63,0,2.53,PH,1614909711
la ronge,55.1001,-105.2842,4.0,56,40,4.12,CA,1614909711
adrar,20.5022,-10.0711,19.95,20,72,4.08,MR,1614909713
miracema do tocantins,-9.5618,-48.3967,23.29,88,11,1.05,BR,1614909714
bambous virieux,-20.3428,57.7575,24.0,83,40,3.09,MU,1614909714
luderitz,-26.6481,15.1594,20.1,57,0,5.51,NA,1614909715
kuchera,26.9839,73.9719,19.54,24,0,3.37,IN,1614909717
moyale,3.5167,39.0584,20.45,61,100,2.87,KE,1614909718
sungaipenuh,-2.0833,101.3833,23.19,72,99,0.93,ID,1614909718
riberalta,-10.9833,-66.1,23.12,95,94,1.23,BO,1614909720
saskylakh,71.9167,114.0833,-35.89,80,22,3.23,RU,1614909718
knysna,-34.0363,23.0471,15.0,88,20,1.54,ZA,1614909721
sao joao da barra,-21.6403,-41.0511,24.56,86,73,6.21,BR,1614909721
sao jose da coroa grande,-8.8978,-35.1478,25.32,85,8,3.44,BR,1614909721
tayoltita,24.0833,-105.9333,18.38,32,94,1.0,MX,1614909722
krasnoselkup,65.7,82.4667,-11.95,95,100,6.71,RU,1614909719
coquimbo,-29.9533,-71.3436,17.0,82,90,1.03,CL,1614909723
banjar,-8.19,114.9675,26.0,89,40,5.66,ID,1614909725
moba,33.2288,105.0179,6.87,61,89,1.99,CN,1614909726
deer park,29.7052,-95.1238,14.44,77,1,5.14,US,1614909727
yar-sale,66.8333,70.8333,-12.51,96,100,3.31,RU,1614909729
powell river,49.8496,-124.5361,8.0,81,75,3.6,CA,1614909730
asau,46.4333,26.4,5.0,39,40,2.35,RO,1614909731
westport,41.1415,-73.3579,1.0,27,1,6.17,US,1614909655
tura,25.5198,90.2201,21.92,28,2,2.07,IN,1614909732
kieta,-6.2167,155.6333,29.55,68,94,5.02,PG,1614909645
saint-denis,48.9167,2.3333,5.0,81,90,4.63,FR,1614909732
kimbe,-5.5502,150.1429,28.2,80,100,4.4,PG,1614909733
kalas,18.1667,74.8,21.9,23,35,1.78,IN,1614909734
luanda,-8.8368,13.2343,27.0,83,75,2.06,AO,1614909734
aitape,-3.1374,142.3475,30.3,61,100,4.2,PG,1614909735
srostki,52.4189,85.7022,-7.8,94,100,1.97,RU,1614909736
pell city,33.5862,-86.2861,11.0,66,40,1.78,US,1614909737
saint-pierre,-21.3393,55.4781,25.0,78,0,2.06,RE,1614909739
tezu,27.9167,96.1667,19.49,54,96,0.54,IN,1614909739
kachiry,53.0675,76.1036,-6.25,95,44,8.63,KZ,1614909740
ozernovskiy,51.5,156.5167,-0.44,98,100,9.25,RU,1614909742
thana,34.6369,72.0739,12.81,41,0,2.81,PK,1614909742
diego de almagro,-26.3667,-70.05,15.49,62,0,0.5,CL,1614909690
san miguel de cauri,-10.1,-76.5833,6.48,88,100,0.79,PE,1614909744
patacamaya,-17.2333,-67.9167,8.4,82,100,2.19,BO,1614909745
