City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
upernavik,72.7868,-56.1549,-25.67,82,0,7.6,GL,1614909746
bilibino,68.0546,166.4372,-27.9,84,100,3.25,RU,1614909665
sao filipe,14.8961,-24.4956,21.12,77,96,5.93,CV,1614909747
pangnirtung,66.1451,-65.7125,-9.84,81,100,2.5,CA,1614909749
el penon,8.9892,-73.9486,28.8,50,100,2.85,CO,1614909750
puerto escondido,15.85,-97.0667,26.0,78,1,3.07,MX,1614909751
cuautepec,16.7,-99.0,22.53,78,1,1.19,MX,1614909751
torbay,47.6666,-52.7314,-1.67,86,1,6.69,CA,1614909752
sale,34.0389,-6.8166,15.0,100,75,3.09,MA,1614909754
escanaba,45.7453,-87.0646,-3.0,63,75,2.57,US,1614909754
porbandar,21.6422,69.6093,22.14,68,0,2.34,IN,1614909755
svetlaya,46.5389,138.3297,3.32,78,3,4.73,RU,1614909757
mount abu,24.6,72.7,14.15,51,0,1.39,IN,1614909758
xichang,27.8964,102.2634,21.67,8,64,0.62,CN,1614909760
tommot,58.9564,126.2925,-26.48,83,100,4.82,RU,1614909667
ranfurly,-45.1333,170.1,12.22,79,99,5.62,NZ,1614909761
salt,32.0392,35.7272,8.0,81,40,4.63,JO,1614909763
la spezia,44.1105,9.8434,10.56,87,100,2.76,IT,1614909765
pacific grove,36.6177,-121.9166,14.0,62,1,3.6,US,1614909662
airai,-8.9266,125.4092,23.3,72,40,0.69,TL,1614909598
nyagan,62.1406,65.3936,-14.4,95,92,2.17,RU,1614909765
filadelfia,39.9523,-75.1638,2.0,44,20,9.26,US,1614909765
hailey,43.5196,-114.3153,3.0,52,1,1.54,US,1614909765
komsomolskiy,40.4272,71.7189,7.0,53,40,6.17,UZ,1614909767
key west,24.5557,-81.7826,21.0,64,90,5.66,US,1614909573
poum,-20.2333,164.0167,24.5,87,100,2.49,NC,1614909767
harper,4.375,-7.7169,26.39,86,100,4.18,LR,1614909768
hovd,48.0056,91.6419,-7.7,65,2,0.62,MN,1614909581
souillac,-20.5167,57.5167,24.0,83,40,3.09,MU,1614909627
taldan,53.6667,124.8,-21.44,80,0,6.45,RU,1614909769
mosquera,4.7059,-74.2302,13.0,94,90,1.21,CO,1614909770
rodrigues alves,-7.738,-72.6509,22.45,95,100,0.54,BR,1614909771
havre-saint-pierre,50.2334,-63.5986,-4.0,86,90,5.66,CA,1614909773
marzuq,14.4,46.4667,14.07,44,0,1.65,YE,1614909774
kununurra,-15.7667,128.7333,32.0,38,0,1.03,AU,1614909774
mobaye,4.319,21.1786,21.54,40,79,1.35,CF,1614909775
san jose,37.3394,-121.895,16.0,55,1,6.17,US,1614909492
faya,18.3851,42.4509,14.0,67,20,2.06,SA,1614909777
katsuura,35.1333,140.3,16.11,67,75,1.54,JP,1614909778
norman wells,65.282,-126.8329,-15.0,66,75,7.2,CA,1614909272
stabat,3.761,98.4513,26.0,94,40,3.6,ID,1614909779
te anau,-45.4167,167.7167,12.83,79,97,2.65,NZ,1614909483
yermakovskoye,53.2831,92.4003,-10.86,93,88,0.79,RU,1614909780
saint-francois,46.4154,3.9054,6.0,93,90,1.54,FR,1614909615
krasnoarmeysk,51.0239,45.6969,2.22,86,100,2.24,RU,1614909780
bull savanna,17.8868,-77.5902,22.75,80,66,0.75,JM,1614909781
port hedland,-20.3167,118.5667,31.0,48,6,3.09,AU,1614909784
havoysund,70.9963,24.6622,-5.0,93,90,4.12,NO,1614909785
ouesso,1.6136,16.0517,22.95,53,0,1.3,CG,1614909786
constitucion,-35.3333,-72.4167,15.83,79,0,5.53,CL,1614909787
shelburne,44.0787,-80.2041,-8.33,83,39,6.52,CA,1614909788
floro,61.5996,5.0328,1.0,86,75,3.6,NO,1614909789
sagua la grande,22.8067,-80.0756,21.0,83,20,1.03,CU,1614909493
daru,-9.0763,143.2092,30.54,63,77,4.63,PG,1614909790
salalah,17.0151,54.0924,21.0,52,0,0.4,OM,1614909791
kapit,2.0167,112.9333,25.01,87,99,0.63,MY,1614909792
beringovskiy,63.05,179.3167,-18.07,84,49,3.52,RU,1614909793
cabra,37.4725,-4.4421,11.11,68,87,0.45,ES,1614909796
jha jha,24.7667,86.3667,22.57,22,43,1.81,IN,1614909797
ilulissat,69.2167,-51.1,-6.0,79,93,7.2,GL,1614909798
dunkirk,51.05,2.3667,5.0,77,100,1.34,FR,1614909799
sioux lookout,50.1001,-91.917,-4.0,68,20,2.06,CA,1614909718
kargasok,59.0556,80.8572,-3.3,97,100,6.17,RU,1614909801
uglovskoye,51.3557,80.1942,-4.05,96,76,7.39,RU,1614909801
bathsheba,13.2167,-59.5167,26.0,69,40,8.75,BB,1614909803
kavaratti,10.5669,72.642,28.3,56,54,3.14,IN,1614909804
midland,31.9974,-102.0779,21.0,10,1,7.72,US,1614909600
nouadhibou,20.931,-17.0347,17.08,79,100,11.13,MR,1614909804
duldurga,50.6761,113.5931,-21.1,81,0,1.04,RU,1614909805
aksu,41.1231,80.2644,5.14,62,99,1.08,CN,1614909806
richards bay,-28.783,32.0377,19.76,85,1,1.02,ZA,1614909807
kuito,-12.3833,16.9333,13.9,95,100,1.72,AO,1614909809
methoni,36.8197,21.7049,10.56,87,0,1.03,GR,1614909810
kamina,-8.7386,24.9906,17.8,97,100,0.44,CD,1614909810
anage,-14.6122,-41.1356,20.84,74,11,1.12,BR,1614909811
alta floresta,-9.8756,-56.0861,21.94,98,100,1.43,BR,1614909811
muriwai beach,-36.8167,174.45,24.0,60,40,2.57,NZ,1614909812
senador jose porfirio,-2.5908,-51.9542,23.59,93,99,1.83,BR,1614909813
tlaltenango,19.1667,-98.3333,21.0,28,40,4.63,MX,1614909814
semnan,35.5729,53.3971,8.53,51,27,2.05,IR,1614909816
noshiro,40.2039,140.0242,4.0,81,75,1.03,JP,1614909817
zlitan,32.4674,14.5687,14.57,59,85,8.53,LY,1614909818
san juan,-31.5375,-68.5364,28.73,31,4,2.12,AR,1614909602
nara,34.6851,135.8049,12.78,87,75,3.09,JP,1614909822
largo,27.9095,-82.7873,17.78,51,0,3.6,US,1614909782
saint-joseph,-21.3667,55.6167,25.0,78,0,2.06,RE,1614909824
ongandjera,-17.8833,15.0667,21.56,47,31,2.13,NA,1614909825
rawson,-43.3002,-65.1023,15.47,82,8,4.76,AR,1614909826
gopalpur,19.2667,84.9167,24.41,49,53,3.83,IN,1614909827
leeuwarden,53.2014,5.8086,2.22,80,20,5.14,NL,1614909704
bitung,1.4451,125.1824,25.0,94,40,4.97,ID,1614909829
koungou,-12.7336,45.2042,28.0,78,75,7.2,YT,1614909831
half moon bay,37.4636,-122.4286,16.0,82,1,2.32,US,1614909547
la esperanza,14.8667,-91.5667,18.33,95,59,1.64,GT,1614909833
tecpan,14.7623,-90.9947,19.0,48,0,7.2,GT,1614909833
roebourne,-20.7833,117.1333,31.4,39,0,4.06,AU,1614909834
oum hadjer,13.2954,19.6966,20.98,22,0,5.03,TD,1614909836
shenjiamen,29.9576,122.298,11.16,81,6,2.5,CN,1614909838
marrakesh,31.6315,-8.0083,13.0,88,40,2.57,MA,1614909540
tecoanapa,16.5167,-98.75,24.37,80,0,1.99,MX,1614909839
fairbanks,64.8378,-147.7164,-13.0,72,1,2.06,US,1614909766
salekhard,66.53,66.6019,-15.76,94,100,3.42,RU,1614909840
houma,29.5958,-90.7195,14.0,67,1,1.54,US,1614909842
narsaq,60.9167,-46.05,10.0,29,96,8.23,GL,1614909843
trairi,-3.2778,-39.2689,26.8,78,100,4.31,BR,1614909845
harindanga,22.0383,88.3214,24.0,88,40,1.54,IN,1614909794
awjilah,29.1081,21.2869,11.74,46,100,3.32,LY,1614909847
acarau,-2.8856,-40.12,26.52,80,100,4.75,BR,1614909848
todos santos,23.45,-110.2167,21.11,75,51,0.45,MX,1614909848
ambon,-3.6954,128.1814,31.0,66,20,3.09,ID,1614909848
yuli,9.6989,10.2744,24.15,18,7,3.42,NG,1614909850
novoorsk,51.381,58.9813,-4.0,86,96,17.0,RU,1614909851
tiznit,29.5833,-9.5,11.18,83,57,1.41,MA,1614909852
birjand,32.8663,59.2211,12.0,22,75,6.17,IR,1614909853
teguise,29.0605,-13.564,18.0,77,20,1.03,ES,1614909854
haimen,23.1935,116.6142,17.0,94,75,1.0,CN,1614909855
cherskiy,68.75,161.3,-25.34,88,100,2.85,RU,1614909745
srbac,45.0978,17.525,8.0,39,0,1.54,BA,1614909856
mandalgovi,45.7625,106.2708,-10.75,69,0,1.02,MN,1614909858
rabat,33.9911,-6.8401,15.0,100,75,3.09,MA,1614909858
kamenka,51.3223,42.7678,2.78,92,100,6.01,RU,1614909859
bereda,43.2686,-7.5406,8.33,100,74,1.79,ES,1614909860
banyo,6.75,11.8167,18.86,26,57,1.71,CM,1614909860
tricase,39.9304,18.3553,10.56,100,0,2.57,IT,1614909861
zirandaro,18.45,-100.9833,29.58,31,74,2.7,MX,1614909733
namatanai,-3.6667,152.4333,29.39,71,100,3.66,PG,1614909862
tauranga,-37.6861,176.1667,19.97,71,27,3.4,NZ,1614909863
muriti,-1.9833,32.9167,22.19,77,89,5.65,TZ,1614909863
severnyy,50.677,36.5532,2.0,80,75,6.0,RU,1614909864
kruisfontein,-34.0033,24.7314,16.4,93,2,3.73,ZA,1614909775
santa cruz cabralia,-16.2781,-39.0247,25.0,73,40,3.6,BR,1614909865
ranot,7.7777,100.3213,27.76,77,37,6.41,TH,1614909865
kommunisticheskiy,61.6789,64.4819,-15.89,94,83,1.8,RU,1614909865
geraldton,-28.7667,114.6,24.0,73,40,1.03,AU,1614909867
cacador,-26.7753,-51.015,18.17,95,100,1.46,BR,1614909754
lalmohan,22.3384,90.7419,24.35,78,0,0.34,BD,1614909643
plouzane,48.3833,-4.6167,7.0,87,90,4.12,FR,1614909868
emirdag,39.0197,31.15,1.77,73,0,1.1,TR,1614909868
goksun,38.021,36.4973,8.0,39,0,7.72,TR,1614909869
ozinki,51.1786,49.6769,-0.74,96,87,9.03,RU,1614909870
guerrero negro,27.9769,-114.0611,15.1,71,93,6.99,MX,1614909871
tautira,-17.7333,-149.15,30.0,70,40,2.06,PF,1614909873
taoudenni,22.6783,-3.9836,19.01,25,0,4.96,ML,1614909873
malamig,12.95,121.3667,26.43,73,30,3.17,PH,1614909874
bayan,46.0833,127.4,-16.24,87,0,6.86,CN,1614909875
moranbah,-22.0016,148.0466,29.55,41,0,7.07,AU,1614909876
san patricio,28.017,-97.5169,18.0,72,75,7.72,US,1614909628
cayenne,4.9333,-52.3333,26.67,89,20,1.54,GF,1614909606
lodja,-3.4833,23.4333,22.8,79,99,0.97,CD,1614909878
biltine,14.5333,20.9167,21.31,21,69,8.69,TD,1614909879
daphne,30.6035,-87.9036,14.0,76,1,1.54,US,1614909879
iqaluit,63.7506,-68.5145,-7.0,53,90,3.09,CA,1614909880
teplodar,46.5059,30.3252,3.0,100,80,1.49,UA,1614909881
kabompo,-13.5927,24.2008,16.96,97,99,1.26,ZM,1614909881
nyaunglebin,17.95,96.7333,26.71,52,0,1.07,MM,1614909883
lorengau,-2.0226,147.2712,28.98,75,38,5.24,PG,1614909883
azul,-36.777,-59.8585,18.28,90,0,5.52,AR,1614909884
buenavista,8.9769,125.4089,29.09,59,59,1.64,PH,1614909885
sabang,5.8933,95.3214,28.16,76,0,4.3,ID,1614909886
sal rei,16.1833,-22.9167,20.0,77,75,8.23,CV,1614909887
grand gaube,-20.0064,57.6608,24.0,83,40,3.09,MU,1614909888
san cristobal,7.7669,-72.225,26.0,73,75,1.03,VE,1614909888
teguldet,57.3064,88.1667,-6.29,94,100,4.75,RU,1614909889
eyl,7.9803,49.8164,21.75,85,82,4.56,SO,1614909890
kristiinankaupunki,62.2743,21.376,-6.0,93,68,2.29,FI,1614909892
albion,42.2431,-84.753,-4.44,74,1,2.61,US,1614909893
hundorp,61.5552,9.9407,-10.22,86,17,1.65,NO,1614909894
margate,51.3813,1.3862,5.0,72,100,2.68,GB,1614909896
vrangel,42.7297,133.0839,4.34,72,100,2.14,RU,1614909897
nador,35.174,-2.9287,15.0,88,75,1.54,MA,1614909898
emerald,-23.5333,148.1667,30.0,42,0,2.06,AU,1614909900
tougue,11.4667,-11.6,23.29,28,0,1.78,GN,1614909901
guymon,36.6828,-101.4816,11.0,37,1,4.63,US,1614909902
ust-kuyga,70.0167,135.6,-28.23,83,100,1.92,RU,1614909903
isla vista,34.4133,-119.861,15.0,55,1,2.57,US,1614909615
sabha,27.0377,14.4283,13.31,37,0,9.75,LY,1614909904
rocha,-34.4833,-54.3333,19.66,95,80,1.07,UY,1614909905
ughelli,5.4899,6.0074,25.35,91,7,1.41,NG,1614909906
missoula,47.0166,-113.8009,5.0,65,1,0.19,US,1614909907
port lincoln,-34.7333,135.8667,19.05,70,93,5.81,AU,1614909907
nizhniy kuranakh,58.8353,125.4869,-26.61,84,100,4.23,RU,1614909908
takoradi,4.8845,-1.7554,26.41,88,47,4.65,GH,1614909910
walvis bay,-22.9575,14.5053,22.16,57,0,4.75,NA,1614909911
yulara,-25.2406,130.9889,31.0,11,8,7.72,AU,1614909912
pingliang,35.5392,106.6861,8.11,45,100,5.27,CN,1614909913
karratha,-20.7377,116.8463,30.76,41,0,4.97,AU,1614909915
sri aman,1.2376,111.4621,26.0,89,20,0.51,MY,1614909915
port blair,11.6667,92.75,28.0,78,40,3.09,IN,1614909916
sibolga,1.7427,98.7792,28.49,66,34,0.44,ID,1614909917
levice,48.2156,18.6071,6.11,77,100,0.79,SK,1614909663
korla,41.7597,86.1469,3.99,69,49,1.03,CN,1614909714
saint-louis,16.3333,-15.0,23.92,18,29,4.55,SN,1614909918
okha,53.5739,142.9478,-19.98,81,100,5.31,RU,1614909920
kahului,20.8947,-156.47,25.0,57,40,8.75,US,1614909921
niksar,40.5917,36.9517,3.4,72,0,2.09,TR,1614909921
gimli,50.6336,-96.9907,-1.11,100,34,1.37,CA,1614909923
buraydah,26.326,43.975,13.0,58,0,6.69,SA,1614909924
takhtamukay,44.9215,38.9958,1.0,86,0,4.0,RU,1614909924
tipuani,-15.5648,-68.0185,21.34,85,100,0.82,BO,1614909926
beeville,28.4008,-97.7483,17.22,88,75,3.09,US,1614909927
honiara,-9.4333,159.95,28.24,71,93,2.46,SB,1614909928
kedrovyy,56.1667,91.8167,-4.0,68,0,4.0,RU,1614909929
bandarbeyla,9.4942,50.8122,22.99,83,91,5.31,SO,1614909929
hope,33.6671,-93.5916,10.0,57,20,0.45,US,1614909737
zholymbet,51.7433,71.7122,-9.82,94,6,8.95,KZ,1614909932
hostotipaquillo,21.0667,-104.0667,20.31,25,69,2.21,MX,1614909933
soltsy,58.1239,30.3238,-4.45,95,33,2.18,RU,1614909934
malazgirt,39.1427,42.5401,-5.12,93,100,1.68,TR,1614909936
pleasanton,37.6624,-121.8747,14.0,58,1,4.63,US,1614909733
aguimes,27.9054,-15.4461,19.0,68,75,5.66,ES,1614909937
kyzyl-suu,42.3414,78.0056,1.74,76,100,3.33,KG,1614909938
angoram,-4.0625,144.0661,32.43,54,96,2.72,PG,1614909940
rosa zarate,0.3333,-79.4667,23.35,93,100,1.03,EC,1614909940
vallenar,-28.5708,-70.7581,18.25,76,6,1.46,CL,1614909941
marawi,7.9986,124.2928,28.33,71,3,1.79,PH,1614909942
zheleznodorozhnyy,55.7503,38.0042,-4.44,86,0,3.0,RU,1614909943
bandeirantes,-23.11,-50.3675,20.52,97,100,1.75,BR,1614909944
beyneu,45.3167,55.2,-0.29,92,0,4.1,KZ,1614909805
sudak,44.85,34.9667,5.68,78,5,6.82,UA,1614909945
havre de grace,39.5493,-76.0916,5.0,51,1,4.63,US,1614909946
republic,37.12,-93.4802,13.0,38,1,3.6,US,1614909947
alyangula,-13.8483,136.4192,30.5,64,42,3.96,AU,1614909785
bengkulu,-3.8004,102.2655,28.54,68,20,1.43,ID,1614909707
tabory,58.5198,64.5495,-10.8,96,100,2.73,RU,1614909948
mount pleasant,32.7941,-79.8626,13.33,71,1,3.49,US,1614909948
lakatoro,-16.0999,167.4164,25.1,88,100,5.18,VU,1614909950
cardoso,-20.0819,-49.9142,21.65,88,96,0.87,BR,1614909951
puerto del rosario,28.5004,-13.8627,18.0,72,40,3.6,ES,1614909951
beidao,34.5686,105.8933,10.4,51,100,0.81,CN,1614909951
tarakan,3.3,117.6333,27.06,74,64,3.08,ID,1614909953
khonsa,27.0167,95.5667,15.72,74,88,0.45,IN,1614909953
qasigiannguit,68.8193,-51.1922,-6.0,79,92,7.2,GL,1614909954
maceio,-9.6658,-35.7353,25.0,88,40,3.09,BR,1614909955
riyadh,24.6877,46.7219,22.0,24,0,4.12,SA,1614909955
zamora,-4.0692,-78.9567,19.29,72,22,0.69,EC,1614909956
longonjo,-12.9067,15.2533,16.81,85,92,1.0,AO,1614909957
abnub,27.2696,31.1511,9.0,76,0,3.6,EG,1614909957
morgantown,39.6295,-79.9559,-2.0,64,90,5.66,US,1614909958
tornio,65.8481,24.1466,-16.0,85,0,3.09,FI,1614909958
taltal,-25.4,-70.4833,18.51,80,20,1.69,CL,1614909731
gornopravdinsk,60.05,69.9,-8.98,97,94,2.08,RU,1614909959
sola,-13.8833,167.55,29.0,70,90,5.14,VU,1614909959
namibe,-15.1961,12.1522,23.71,81,60,1.59,AO,1614909960
redcliffe,-27.2307,153.0973,28.89,57,40,5.14,AU,1614909962
hwange,-18.3693,26.5019,16.75,77,34,1.18,ZW,1614909962
mont-de-marsan,44.0,-0.6667,9.44,87,0,0.51,FR,1614909964
cristalina,-16.7686,-47.6136,17.43,96,77,0.73,BR,1614909964
eureka,40.8021,-124.1637,11.11,62,1,5.14,US,1614909966
chulman,56.8479,124.9104,-27.76,83,100,6.14,RU,1614909966
henties bay,-22.116,14.2845,21.25,64,0,2.31,NA,1614909966
ende,-8.8432,121.6623,30.12,60,7,0.89,ID,1614909967
shitanjing,39.2342,106.3439,3.61,57,90,2.6,CN,1614909968
abbeville,50.1,1.8333,3.89,83,38,3.22,FR,1614909970
castro-urdiales,43.3829,-3.2204,9.44,100,90,0.51,ES,1614909971
manchester,53.4809,-2.2374,4.44,65,75,3.6,GB,1614909942
kutum,14.2,24.6667,11.59,39,42,4.36,SD,1614909972
dauriya,49.9333,116.8667,-22.58,79,0,1.64,RU,1614909972
lasa,46.6166,10.7002,4.44,93,0,2.06,IT,1614909973
bremerton,47.5673,-122.6326,8.89,100,75,5.27,US,1614909975
katakwi,1.8911,33.9661,20.41,72,0,1.17,UG,1614909976
saravan,39.7196,45.6483,2.0,93,90,2.06,AM,1614909977
mandali,33.7499,45.5541,13.6,47,0,4.93,IQ,1614909978
bagotville,-28.9833,153.4167,27.0,54,0,5.14,AU,1614909978
tiradentes,-21.1103,-44.1781,18.28,89,100,1.25,BR,1614909979
nosy varika,-20.5833,48.5333,23.68,87,100,2.73,MG,1614909981
vila franca do campo,37.7167,-25.4333,13.0,76,20,9.26,PT,1614909981
oktyabrskoye,43.0645,44.7417,-6.0,93,0,4.0,RU,1614909982
kijang,35.2442,129.2139,10.0,76,90,3.09,KR,1614909976
carlsbad,33.1581,-117.3506,15.0,72,1,2.06,US,1614909934
opuwo,-18.0607,13.84,21.79,45,80,1.23,NA,1614909983
bubaque,11.2833,-15.8333,25.26,67,15,4.94,GW,1614909984
najran,17.4924,44.1277,17.0,29,0,2.06,SA,1614909984
aleppo,36.25,37.5,7.84,86,0,5.9,SY,1614909985
christchurch,-43.5333,172.6333,21.67,32,51,6.17,NZ,1614909971
tsaratanana,-16.7833,47.65,21.67,85,95,0.69,MG,1614909986
touros,-5.1989,-35.4608,25.0,94,75,2.06,BR,1614909986
yarada,17.65,83.2667,20.0,100,72,1.03,IN,1614909986
januaria,-15.4833,-44.3667,20.65,72,43,0.64,BR,1614909987
clearlake,38.9582,-122.6264,14.0,44,1,4.63,US,1614909989
yambio,4.5721,28.3955,22.06,34,33,1.45,SS,1614909989
antalya,36.7741,30.7178,11.67,70,0,3.6,TR,1614909781
nhulunbuy,-12.2333,136.7667,31.0,70,40,6.17,AU,1614909990
chota,-6.55,-78.65,13.1,89,97,0.57,PE,1614909991
champerico,14.3,-91.9167,18.33,95,84,2.44,GT,1614909993
